iter	Passed	Remaining
414	3000	4230
415	3007	4222
416	3014	4215
417	3021	4207
418	3028	4199
419	3035	4191
420	3042	4184
421	3049	4176
422	3055	4168
423	3062	4160
424	3069	4152
425	3076	4145
426	3083	4138
427	3091	4131
428	3098	4124
429	3106	4117
430	3113	4109
431	3120	4102
432	3127	4094
433	3133	4087
434	3140	4079
435	3148	4072
436	3154	4064
437	3162	4057
438	3168	4049
439	3175	4041
440	3182	4034
441	3189	4026
442	3196	4019
443	3203	4011
444	3210	4004
445	3217	3996
446	3223	3988
447	3231	3981
448	3238	3973
449	3245	3967
450	3253	3959
451	3260	3953
452	3267	3945
453	3274	3938
454	3281	3930
455	3288	3923
456	3295	3915
457	3303	3909
458	3310	3901
459	3318	3895
460	3324	3887
461	3332	3880
462	3339	3873
463	3346	3866
464	3353	3858
465	3360	3850
466	3367	3843
467	3374	3835
468	3381	3828
469	3388	3820
470	3395	3813
471	3402	3806
472	3409	3799
473	3417	3791
474	3424	3784
475	3431	3777
476	3439	3770
477	3446	3763
478	3453	3756
479	3460	3749
480	3467	3741
481	3474	3733
482	3481	3726
483	3488	3719
484	3495	3712
485	3502	3704
486	3509	3697
487	3517	3690
488	3524	3682
489	3531	3675
490	3538	3668
491	3546	3661
492	3553	3654
493	3560	3647
494	3566	3638
495	3572	3630
496	3580	3623
497	3587	3616
498	3595	3609
499	3601	3601
500	3608	3594
501	3616	3587
502	3622	3579
503	3630	3572
504	3637	3565
505	3645	3558
506	3652	3551
507	3659	3544
508	3666	3536
509	3673	3529
510	3680	3522
511	3687	3515
512	3695	3508
513	3702	3500
514	3709	3493
515	3717	3486
516	3724	3479
517	3731	3472
518	3738	3464
519	3746	3458
520	3753	3451
521	3761	3444
522	3768	3437
523	3776	3430
524	3783	3423
525	3790	3415
526	3798	3408
527	3805	3401
528	3813	3395
529	3820	3388
530	3828	3381
531	3835	3373
532	3842	3366
533	3849	3359
534	3857	3352
535	3864	3345
536	3871	3337
537	3879	3331
538	3886	3324
539	3894	3317
540	3901	3310
541	3908	3303
542	3915	3295
543	3922	3288
544	3930	3281
545	3937	3274
546	3945	3267
547	3952	3260
548	3960	3253
549	3967	3245
550	3974	3238
551	3979	3229
552	3987	3223
553	3994	3215
554	4001	3208
555	4008	3201
556	4015	3194
557	4023	3187
558	4031	3180
559	4038	3172
560	4045	3166
561	4052	3158
562	4060	3151
563	4067	3144
564	4074	3137
565	4082	3130
566	4089	3123
567	4097	3116
568	4105	3109
569	4112	3102
570	4119	3094
571	4127	3088
572	4133	3080
573	4141	3073
574	4148	3066
575	4155	3058
576	4162	3051
577	4170	3044
578	4177	3037
579	4184	3029
580	4191	3022
581	4198	3015
582	4205	3007
583	4212	3000
584	4219	2993
585	4227	2986
586	4234	2979
587	4242	2972
588	4249	2965
589	4257	2958
590	4264	2951
591	4271	2943
592	4278	2936
593	4285	2929
594	4292	2921
595	4299	2914
596	4306	2907
597	4313	2899
598	4320	2892
599	4327	2884
600	4334	2877
601	4341	2870
602	4349	2863
603	4356	2856
604	4363	2849
605	4371	2842
606	4379	2835
607	4386	2827
608	4393	2820
609	4400	2813
610	4407	2806
611	4415	2799
612	4422	2792
613	4429	2784
614	4436	2777
615	4443	2770
616	4451	2762
617	4458	2755
618	4465	2748
619	4472	2741
620	4480	2734
621	4487	2727
622	4494	2719
623	4501	2712
624	4508	2705
625	4515	2697
626	4522	2690
627	4529	2682
628	4536	2675
629	4544	2668
630	4551	2661
631	4559	2654
632	4566	2647
633	4574	2640
634	4580	2633
635	4588	2625
636	4595	2618
637	4603	2611
638	4610	2604
639	4617	2597
640	4625	2590
641	4632	2583
642	4639	2576
643	4646	2568
644	4654	2561
645	4662	2554
646	4669	2547
647	4676	2540
648	4684	2533
649	4692	2526
650	4699	2519
651	4706	2512
652	4713	2504
653	4721	2497
654	4728	2490
655	4735	2483
656	4742	2476
657	4750	2468
658	4757	2462
659	4765	2454
660	4773	2447
661	4780	2440
662	4787	2433
663	4794	2425
664	4801	2418
665	4808	2411
666	4815	2404
667	4822	2396
668	4829	2389
669	4837	2382
670	4844	2375
671	4851	2368
672	4862	2362
673	4869	2355
674	4877	2348
675	4883	2340
676	4891	2333
677	4898	2326
678	4905	2318
679	4912	2311
680	4919	2304
681	4926	2297
682	4932	2289
683	4939	2282
684	4946	2274
685	4953	2267
686	4961	2260
687	4968	2253
688	4976	2246
689	4983	2238
690	4990	2231
691	4998	2224
692	5005	2217
693	5012	2210
694	5020	2203
695	5027	2195
696	5034	2188
697	5041	2181
698	5048	2173
699	5055	2166
700	5062	2159
701	5069	2152
702	5077	2144
703	5084	2137
704	5090	2130
705	5097	2122
706	5104	2115
707	5111	2108
708	5118	2100
709	5125	2093
710	5132	2086
711	5140	2079
712	5147	2072
713	5154	2064
714	5161	2057
715	5168	2050
716	5175	2042
717	5183	2035
718	5190	2028
719	5197	2021
720	5204	2013
721	5211	2006
722	5218	1999
723	5225	1992
724	5232	1984
725	5239	1977
726	5246	1970
727	5254	1963
728	5261	1955
729	5268	1948
730	5275	1941
731	5282	1934
732	5289	1926
733	5296	1919
734	5303	1912
735	5310	1904
736	5318	1897
737	5325	1890
738	5332	1883
739	5339	1876
740	5346	1868
741	5354	1861
742	5360	1854
743	5367	1846
744	5372	1838
745	5379	1831
746	5387	1824
747	5394	1817
748	5401	1810
749	5409	1803
750	5416	1795
751	5423	1788
752	5431	1781
753	5438	1774
754	5446	1767
755	5453	1759
756	5460	1752
757	5467	1745
758	5475	1738
759	5482	1731
760	5489	1724
761	5496	1716
762	5504	1709
763	5511	1702
764	5518	1695
765	5523	1687
766	5530	1680
767	5538	1673
768	5545	1665
769	5552	1658
770	5560	1651
771	5567	1644
772	5575	1637
773	5582	1630
774	5589	1622
775	5597	1615
776	5604	1608
777	5611	1601
778	5619	1594
779	5626	1586
780	5633	1579
781	5640	1572
782	5648	1565
783	5655	1558
784	5662	1550
785	5670	1543
786	5677	1536
787	5684	1529
788	5692	1522
789	5699	1514
790	5706	1507
791	5713	1500
792	5721	1493
793	5728	1486
794	5736	1479
795	5743	1471
796	5750	1464
797	5757	1457
798	5764	1450
799	5771	1442
800	5779	1435
801	5786	1428
802	5793	1421
803	5801	1414
804	5808	1406
805	5815	1399
806	5822	1392
807	5829	1385
808	5836	1377
809	5844	1370
810	5851	1363
811	5858	1356
812	5866	1349
813	5874	1342
814	5880	1334
815	5888	1327
816	5895	1320
817	5902	1313
818	5908	1305
819	5915	1298
820	5923	1291
821	5929	1284
822	5937	1276
823	5944	1269
824	5951	1262
825	5958	1255
826	5965	1247
827	5972	1240
828	5980	1233
829	5987	1226
830	5994	1219
831	6001	1211
832	6008	1204
833	6016	1197
834	6022	1190
835	6029	1182
836	6037	1175
837	6044	1168
838	6052	1161
839	6059	1154
840	6066	1146
841	6073	1139
842	6080	1132
843	6088	1125
844	6094	1117
845	6101	1110
846	6108	1103
847	6115	1096
848	6122	1088
849	6130	1081
850	6137	1074
851	6144	1067
852	6151	1060
853	6158	1052
854	6165	1045
855	6173	1038
856	6179	1031
857	6187	1024
858	6195	1016
859	6202	1009
860	6209	1002
861	6216	995
862	6223	988
863	6231	980
864	6238	973
865	6245	966
866	6253	959
867	6260	952
868	6267	944
869	6274	937
870	6281	930
871	6289	923
872	6296	915
873	6303	908
874	6310	901
875	6317	894
876	6324	887
877	6332	879
878	6339	872
879	6346	865
880	6353	858
881	6360	850
882	6369	843
883	6376	836
884	6384	829
885	6391	822
886	6398	815
887	6405	807
888	6413	800
889	6421	793
890	6429	786
891	6437	779
892	6444	772
893	6452	765
894	6459	757
895	6466	750
896	6474	743
897	6481	736
898	6489	729
899	6498	722
900	6505	714
901	6513	707
902	6521	700
903	6529	693
904	6537	686
905	6545	679
906	6552	671
907	6560	664
908	6568	657
909	6575	650
910	6584	643
911	6592	636
912	6601	629
913	6609	621
914	6617	614
915	6625	607
916	6634	600
917	6641	593
918	6649	586
919	6657	578
920	6666	571
921	6673	564
922	6682	557
923	6690	550
924	6699	543
925	6707	536
926	6715	528
927	6723	521
928	6730	514
929	6738	507
930	6746	499
931	6754	492
932	6762	485
933	6769	478
934	6778	471
935	6787	464
936	6794	456
937	6803	449
938	6811	442
939	6819	435
940	6827	428
941	6835	420
942	6843	413
943	6852	406
944	6861	399
945	6869	392
946	6877	384
947	6884	377
948	6892	370
949	6900	363
950	6908	355
951	6916	348
952	6924	341
953	6932	334
954	6939	327
955	6947	319
956	6954	312
957	6962	305
958	6969	297
959	6977	290
960	6985	283
961	6992	276
962	7001	268
963	7009	261
964	7017	254
965	7025	247
966	7032	240
967	7040	232
968	7049	225
969	7056	218
970	7065	211
971	7072	203
972	7080	196
973	7088	189
974	7096	181
975	7104	174
976	7112	167
977	7119	160
978	7127	152
979	7134	145
980	7143	138
981	7151	131
982	7159	123
983	7167	116
984	7175	109
985	7183	101
986	7191	94
987	7200	87
988	7207	80
989	7215	72
990	7223	65
991	7231	58
992	7239	51
993	7247	43
994	7255	36
995	7263	29
996	7272	21
997	7280	14
998	7286	7
999	7295	0
